dut_data:78, torch_data:77, c:14, w:125, h:2, i+1:7135, err:1.0 
dut_data:80, torch_data:79, c:13, w:131, h:2, i+1:7230, err:1.0 
dut_data:78, torch_data:77, c:6, w:134, h:2, i+1:7271, err:1.0 
dut_data:78, torch_data:77, c:4, w:142, h:2, i+1:7397, err:1.0 
dut_data:83, torch_data:82, c:13, w:144, h:2, i+1:7438, err:1.0 
dut_data:78, torch_data:77, c:3, w:145, h:2, i+1:7444, err:1.0 
dut_data:84, torch_data:83, c:5, w:145, h:2, i+1:7446, err:1.0 
dut_data:89, torch_data:88, c:6, w:147, h:2, i+1:7479, err:1.0 
dut_data:84, torch_data:83, c:1, w:148, h:2, i+1:7490, err:1.0 
dut_data:80, torch_data:79, c:7, w:148, h:2, i+1:7496, err:1.0 
dut_data:77, torch_data:76, c:10, w:148, h:2, i+1:7499, err:1.0 
dut_data:88, torch_data:87, c:6, w:150, h:2, i+1:7527, err:1.0 
dut_data:77, torch_data:76, c:4, w:154, h:2, i+1:7589, err:1.0 
dut_data:85, torch_data:84, c:14, w:154, h:2, i+1:7599, err:1.0 
dut_data:79, torch_data:78, c:5, w:0, h:3, i+1:7686, err:1.0 
dut_data:77, torch_data:76, c:2, w:2, h:3, i+1:7715, err:1.0 
dut_data:81, torch_data:80, c:14, w:13, h:3, i+1:7903, err:1.0 
dut_data:78, torch_data:77, c:12, w:14, h:3, i+1:7917, err:1.0 
dut_data:89, torch_data:88, c:14, w:17, h:3, i+1:7967, err:1.0 
dut_data:94, torch_data:93, c:6, w:21, h:3, i+1:8023, err:1.0 
dut_data:83, torch_data:82, c:5, w:22, h:3, i+1:8038, err:1.0 
dut_data:86, torch_data:85, c:1, w:23, h:3, i+1:8050, err:1.0 
dut_data:86, torch_data:85, c:4, w:28, h:3, i+1:8133, err:1.0 
dut_data:85, torch_data:84, c:0, w:30, h:3, i+1:8161, err:1.0 
dut_data:85, torch_data:84, c:13, w:31, h:3, i+1:8190, err:1.0 
dut_data:85, torch_data:84, c:5, w:48, h:3, i+1:8454, err:1.0 
dut_data:82, torch_data:81, c:11, w:51, h:3, i+1:8508, err:1.0 
dut_data:82, torch_data:81, c:2, w:57, h:3, i+1:8595, err:1.0 
dut_data:77, torch_data:76, c:2, w:64, h:3, i+1:8707, err:1.0 
dut_data:79, torch_data:78, c:7, w:65, h:3, i+1:8728, err:1.0 
dut_data:88, torch_data:87, c:11, w:69, h:3, i+1:8796, err:1.0 
dut_data:77, torch_data:76, c:8, w:71, h:3, i+1:8825, err:1.0 
dut_data:80, torch_data:79, c:2, w:73, h:3, i+1:8851, err:1.0 
dut_data:86, torch_data:85, c:2, w:80, h:3, i+1:8963, err:1.0 
dut_data:80, torch_data:79, c:6, w:81, h:3, i+1:8983, err:1.0 
dut_data:89, torch_data:88, c:2, w:86, h:3, i+1:9059, err:1.0 
dut_data:78, torch_data:77, c:0, w:89, h:3, i+1:9105, err:1.0 
dut_data:89, torch_data:88, c:3, w:95, h:3, i+1:9204, err:1.0 
dut_data:97, torch_data:96, c:10, w:96, h:3, i+1:9227, err:1.0 
dut_data:77, torch_data:76, c:15, w:97, h:3, i+1:9248, err:1.0 
dut_data:83, torch_data:82, c:3, w:100, h:3, i+1:9284, err:1.0 
dut_data:82, torch_data:81, c:2, w:105, h:3, i+1:9363, err:1.0 
dut_data:77, torch_data:76, c:8, w:109, h:3, i+1:9433, err:1.0 
dut_data:89, torch_data:88, c:3, w:111, h:3, i+1:9460, err:1.0 
dut_data:79, torch_data:78, c:0, w:121, h:3, i+1:9617, err:1.0 
dut_data:78, torch_data:77, c:4, w:122, h:3, i+1:9637, err:1.0 
dut_data:85, torch_data:84, c:13, w:131, h:3, i+1:9790, err:1.0 
dut_data:78, torch_data:77, c:0, w:137, h:3, i+1:9873, err:1.0 
dut_data:81, torch_data:80, c:14, w:138, h:3, i+1:9903, err:1.0 
dut_data:79, torch_data:78, c:6, w:139, h:3, i+1:9911, err:1.0 
dut_data:77, torch_data:76, c:0, w:142, h:3, i+1:9953, err:1.0 
dut_data:84, torch_data:83, c:6, w:143, h:3, i+1:9975, err:1.0 
dut_data:80, torch_data:79, c:4, w:146, h:3, i+1:10021, err:1.0 
dut_data:80, torch_data:79, c:12, w:155, h:3, i+1:10173, err:1.0 
dut_data:78, torch_data:77, c:13, w:0, h:4, i+1:10254, err:1.0 
dut_data:79, torch_data:78, c:1, w:4, h:4, i+1:10306, err:1.0 
dut_data:86, torch_data:85, c:0, w:19, h:4, i+1:10545, err:1.0 
dut_data:91, torch_data:90, c:6, w:21, h:4, i+1:10583, err:1.0 
dut_data:77, torch_data:76, c:1, w:23, h:4, i+1:10610, err:1.0 
dut_data:78, torch_data:77, c:7, w:27, h:4, i+1:10680, err:1.0 
