dut_data:156, torch_data:157, c:5, w:6, h:3, i+1:7782, err:-1.0 
dut_data:161, torch_data:162, c:14, w:6, h:3, i+1:7791, err:-1.0 
dut_data:180, torch_data:181, c:7, w:11, h:3, i+1:7864, err:-1.0 
dut_data:195, torch_data:196, c:9, w:12, h:3, i+1:7882, err:-1.0 
dut_data:152, torch_data:153, c:0, w:19, h:3, i+1:7985, err:-1.0 
dut_data:152, torch_data:153, c:8, w:21, h:3, i+1:8025, err:-1.0 
dut_data:176, torch_data:177, c:13, w:24, h:3, i+1:8078, err:-1.0 
dut_data:161, torch_data:162, c:2, w:25, h:3, i+1:8083, err:-1.0 
dut_data:175, torch_data:176, c:14, w:33, h:3, i+1:8223, err:-1.0 
dut_data:165, torch_data:166, c:3, w:36, h:3, i+1:8260, err:-1.0 
dut_data:156, torch_data:157, c:8, w:48, h:3, i+1:8457, err:-1.0 
dut_data:161, torch_data:162, c:6, w:51, h:3, i+1:8503, err:-1.0 
dut_data:159, torch_data:160, c:9, w:53, h:3, i+1:8538, err:-1.0 
dut_data:208, torch_data:209, c:11, w:53, h:3, i+1:8540, err:-1.0 
dut_data:152, torch_data:153, c:4, w:56, h:3, i+1:8581, err:-1.0 
dut_data:175, torch_data:176, c:13, w:68, h:3, i+1:8782, err:-1.0 
dut_data:182, torch_data:183, c:4, w:76, h:3, i+1:8901, err:-1.0 
dut_data:171, torch_data:172, c:5, w:76, h:3, i+1:8902, err:-1.0 
dut_data:169, torch_data:170, c:5, w:81, h:3, i+1:8982, err:-1.0 
dut_data:154, torch_data:155, c:2, w:82, h:3, i+1:8995, err:-1.0 
dut_data:165, torch_data:166, c:15, w:85, h:3, i+1:9056, err:-1.0 
dut_data:164, torch_data:165, c:14, w:86, h:3, i+1:9071, err:-1.0 
dut_data:166, torch_data:167, c:10, w:92, h:3, i+1:9163, err:-1.0 
dut_data:152, torch_data:153, c:15, w:92, h:3, i+1:9168, err:-1.0 
dut_data:162, torch_data:163, c:4, w:98, h:3, i+1:9253, err:-1.0 
dut_data:160, torch_data:161, c:14, w:104, h:3, i+1:9359, err:-1.0 
dut_data:184, torch_data:185, c:6, w:109, h:3, i+1:9431, err:-1.0 
dut_data:168, torch_data:169, c:14, w:112, h:3, i+1:9487, err:-1.0 
dut_data:154, torch_data:155, c:1, w:114, h:3, i+1:9506, err:-1.0 
dut_data:160, torch_data:161, c:6, w:115, h:3, i+1:9527, err:-1.0 
dut_data:181, torch_data:182, c:3, w:116, h:3, i+1:9540, err:-1.0 
dut_data:162, torch_data:163, c:15, w:118, h:3, i+1:9584, err:-1.0 
dut_data:171, torch_data:172, c:14, w:120, h:3, i+1:9615, err:-1.0 
dut_data:153, torch_data:154, c:7, w:132, h:3, i+1:9800, err:-1.0 
