dut_data:159, torch_data:158, c:11, w:142, h:21, i+1:56044, err:1.0 
dut_data:170, torch_data:169, c:2, w:156, h:21, i+1:56259, err:1.0 
dut_data:194, torch_data:193, c:6, w:159, h:21, i+1:56311, err:1.0 
dut_data:187, torch_data:186, c:14, w:7, h:22, i+1:56447, err:1.0 
dut_data:192, torch_data:191, c:10, w:9, h:22, i+1:56475, err:1.0 
dut_data:181, torch_data:180, c:13, w:15, h:22, i+1:56574, err:1.0 
dut_data:188, torch_data:187, c:0, w:44, h:22, i+1:57025, err:1.0 
dut_data:164, torch_data:163, c:15, w:46, h:22, i+1:57072, err:1.0 
dut_data:170, torch_data:169, c:9, w:62, h:22, i+1:57322, err:1.0 
dut_data:167, torch_data:166, c:12, w:66, h:22, i+1:57389, err:1.0 
dut_data:162, torch_data:163, c:13, w:68, h:22, i+1:57422, err:-1.0 
dut_data:155, torch_data:154, c:12, w:103, h:22, i+1:57981, err:1.0 
dut_data:163, torch_data:162, c:9, w:107, h:22, i+1:58042, err:1.0 
dut_data:170, torch_data:169, c:11, w:111, h:22, i+1:58108, err:1.0 
dut_data:156, torch_data:155, c:13, w:145, h:22, i+1:58654, err:1.0 
dut_data:165, torch_data:164, c:2, w:157, h:22, i+1:58835, err:1.0 
dut_data:159, torch_data:158, c:5, w:158, h:22, i+1:58854, err:1.0 
dut_data:176, torch_data:175, c:3, w:18, h:23, i+1:59172, err:1.0 
dut_data:195, torch_data:194, c:10, w:25, h:23, i+1:59291, err:1.0 
dut_data:169, torch_data:168, c:3, w:48, h:23, i+1:59652, err:1.0 
dut_data:162, torch_data:161, c:9, w:54, h:23, i+1:59754, err:1.0 
dut_data:173, torch_data:172, c:10, w:57, h:23, i+1:59803, err:1.0 
dut_data:206, torch_data:205, c:11, w:64, h:23, i+1:59916, err:1.0 
dut_data:195, torch_data:194, c:12, w:78, h:23, i+1:60141, err:1.0 
dut_data:179, torch_data:178, c:7, w:80, h:23, i+1:60168, err:1.0 
dut_data:177, torch_data:176, c:3, w:95, h:23, i+1:60404, err:1.0 
dut_data:175, torch_data:174, c:3, w:112, h:23, i+1:60676, err:1.0 
dut_data:188, torch_data:187, c:3, w:116, h:23, i+1:60740, err:1.0 
dut_data:181, torch_data:180, c:5, w:126, h:23, i+1:60902, err:1.0 
dut_data:212, torch_data:211, c:12, w:126, h:23, i+1:60909, err:1.0 
dut_data:165, torch_data:164, c:6, w:143, h:23, i+1:61175, err:1.0 
dut_data:166, torch_data:165, c:11, w:154, h:23, i+1:61356, err:1.0 
dut_data:184, torch_data:183, c:2, w:157, h:23, i+1:61395, err:1.0 
dut_data:203, torch_data:202, c:12, w:2, h:24, i+1:61485, err:1.0 
dut_data:159, torch_data:158, c:1, w:21, h:24, i+1:61778, err:1.0 
dut_data:156, torch_data:155, c:10, w:23, h:24, i+1:61819, err:1.0 
dut_data:173, torch_data:172, c:9, w:43, h:24, i+1:62138, err:1.0 
dut_data:162, torch_data:161, c:2, w:55, h:24, i+1:62323, err:1.0 
dut_data:161, torch_data:162, c:5, w:61, h:24, i+1:62422, err:-1.0 
dut_data:174, torch_data:173, c:12, w:72, h:24, i+1:62605, err:1.0 
dut_data:168, torch_data:167, c:3, w:82, h:24, i+1:62756, err:1.0 
dut_data:171, torch_data:170, c:12, w:88, h:24, i+1:62861, err:1.0 
dut_data:169, torch_data:168, c:11, w:89, h:24, i+1:62876, err:1.0 
dut_data:154, torch_data:153, c:12, w:104, h:24, i+1:63117, err:1.0 
dut_data:202, torch_data:201, c:12, w:126, h:24, i+1:63469, err:1.0 
dut_data:168, torch_data:167, c:13, w:159, h:24, i+1:63998, err:1.0 
dut_data:174, torch_data:173, c:13, w:3, h:25, i+1:64062, err:1.0 
dut_data:188, torch_data:187, c:9, w:6, h:25, i+1:64106, err:1.0 
dut_data:170, torch_data:169, c:14, w:14, h:25, i+1:64239, err:1.0 
dut_data:157, torch_data:156, c:1, w:18, h:25, i+1:64290, err:1.0 
dut_data:189, torch_data:188, c:12, w:18, h:25, i+1:64301, err:1.0 
dut_data:191, torch_data:190, c:2, w:29, h:25, i+1:64467, err:1.0 
dut_data:169, torch_data:168, c:11, w:45, h:25, i+1:64732, err:1.0 
dut_data:155, torch_data:154, c:6, w:48, h:25, i+1:64775, err:1.0 
dut_data:182, torch_data:181, c:1, w:89, h:25, i+1:65426, err:1.0 
dut_data:218, torch_data:217, c:2, w:93, h:25, i+1:65491, err:1.0 
