dut_data:99, torch_data:98, c:6, w:125, h:7, i+1:19927, err:1.0 
dut_data:83, torch_data:82, c:8, w:16, h:8, i+1:20745, err:1.0 
dut_data:82, torch_data:81, c:5, w:43, h:8, i+1:21174, err:1.0 
dut_data:91, torch_data:90, c:2, w:57, h:8, i+1:21395, err:1.0 
dut_data:87, torch_data:86, c:0, w:92, h:8, i+1:21953, err:1.0 
dut_data:78, torch_data:77, c:14, w:109, h:8, i+1:22239, err:1.0 
dut_data:89, torch_data:88, c:7, w:121, h:8, i+1:22424, err:1.0 
dut_data:86, torch_data:85, c:5, w:4, h:9, i+1:23110, err:1.0 
dut_data:81, torch_data:80, c:10, w:9, h:9, i+1:23195, err:1.0 
dut_data:79, torch_data:78, c:10, w:10, h:9, i+1:23211, err:1.0 
dut_data:77, torch_data:76, c:10, w:41, h:9, i+1:23707, err:1.0 
dut_data:88, torch_data:87, c:9, w:43, h:9, i+1:23738, err:1.0 
dut_data:77, torch_data:76, c:3, w:47, h:9, i+1:23796, err:1.0 
dut_data:87, torch_data:86, c:12, w:62, h:9, i+1:24045, err:1.0 
dut_data:83, torch_data:82, c:15, w:62, h:9, i+1:24048, err:1.0 
dut_data:79, torch_data:78, c:6, w:81, h:9, i+1:24343, err:1.0 
dut_data:85, torch_data:84, c:14, w:81, h:9, i+1:24351, err:1.0 
dut_data:81, torch_data:80, c:3, w:82, h:9, i+1:24356, err:1.0 
dut_data:84, torch_data:83, c:9, w:107, h:9, i+1:24762, err:1.0 
dut_data:80, torch_data:79, c:10, w:117, h:9, i+1:24923, err:1.0 
dut_data:77, torch_data:76, c:0, w:126, h:9, i+1:25057, err:1.0 
dut_data:87, torch_data:86, c:8, w:151, h:9, i+1:25465, err:1.0 
dut_data:83, torch_data:82, c:10, w:21, h:10, i+1:25947, err:1.0 
dut_data:93, torch_data:92, c:10, w:43, h:10, i+1:26299, err:1.0 
dut_data:84, torch_data:83, c:10, w:53, h:10, i+1:26459, err:1.0 
dut_data:88, torch_data:87, c:10, w:54, h:10, i+1:26475, err:1.0 
dut_data:83, torch_data:82, c:3, w:74, h:10, i+1:26788, err:1.0 
dut_data:82, torch_data:81, c:14, w:79, h:10, i+1:26879, err:1.0 
dut_data:80, torch_data:81, c:9, w:96, h:10, i+1:27146, err:-1.0 
dut_data:81, torch_data:80, c:10, w:103, h:10, i+1:27259, err:1.0 
dut_data:78, torch_data:77, c:11, w:122, h:10, i+1:27564, err:1.0 
dut_data:80, torch_data:79, c:6, w:132, h:10, i+1:27719, err:1.0 
dut_data:87, torch_data:86, c:14, w:153, h:10, i+1:28063, err:1.0 
dut_data:79, torch_data:78, c:10, w:6, h:11, i+1:28267, err:1.0 
dut_data:80, torch_data:79, c:2, w:18, h:11, i+1:28451, err:1.0 
dut_data:82, torch_data:81, c:12, w:45, h:11, i+1:28893, err:1.0 
dut_data:80, torch_data:79, c:2, w:66, h:11, i+1:29219, err:1.0 
dut_data:82, torch_data:81, c:12, w:97, h:11, i+1:29725, err:1.0 
dut_data:87, torch_data:86, c:14, w:125, h:11, i+1:30175, err:1.0 
dut_data:77, torch_data:76, c:7, w:147, h:11, i+1:30520, err:1.0 
dut_data:84, torch_data:83, c:3, w:150, h:11, i+1:30564, err:1.0 
dut_data:95, torch_data:94, c:6, w:3, h:12, i+1:30775, err:1.0 
dut_data:98, torch_data:97, c:6, w:35, h:12, i+1:31287, err:1.0 
dut_data:88, torch_data:87, c:1, w:36, h:12, i+1:31298, err:1.0 
dut_data:77, torch_data:76, c:12, w:66, h:12, i+1:31789, err:1.0 
dut_data:91, torch_data:90, c:6, w:85, h:12, i+1:32087, err:1.0 
dut_data:80, torch_data:79, c:2, w:86, h:12, i+1:32099, err:1.0 
dut_data:78, torch_data:77, c:6, w:103, h:12, i+1:32375, err:1.0 
dut_data:87, torch_data:86, c:12, w:105, h:12, i+1:32413, err:1.0 
dut_data:78, torch_data:77, c:10, w:107, h:12, i+1:32443, err:1.0 
dut_data:80, torch_data:79, c:2, w:134, h:12, i+1:32867, err:1.0 
dut_data:83, torch_data:82, c:11, w:145, h:12, i+1:33052, err:1.0 
dut_data:91, torch_data:90, c:13, w:147, h:12, i+1:33086, err:1.0 
dut_data:79, torch_data:78, c:2, w:156, h:12, i+1:33219, err:1.0 
dut_data:79, torch_data:78, c:12, w:4, h:13, i+1:33357, err:1.0 
dut_data:81, torch_data:80, c:10, w:9, h:13, i+1:33435, err:1.0 
dut_data:83, torch_data:82, c:7, w:11, h:13, i+1:33464, err:1.0 
dut_data:80, torch_data:81, c:7, w:13, h:13, i+1:33496, err:-1.0 
dut_data:100, torch_data:99, c:13, w:23, h:13, i+1:33662, err:1.0 
dut_data:79, torch_data:78, c:0, w:30, h:13, i+1:33761, err:1.0 
dut_data:81, torch_data:80, c:1, w:35, h:13, i+1:33842, err:1.0 
dut_data:85, torch_data:84, c:0, w:41, h:13, i+1:33937, err:1.0 
dut_data:80, torch_data:79, c:10, w:41, h:13, i+1:33947, err:1.0 
dut_data:93, torch_data:92, c:11, w:42, h:13, i+1:33964, err:1.0 
dut_data:86, torch_data:85, c:12, w:46, h:13, i+1:34029, err:1.0 
dut_data:86, torch_data:85, c:13, w:63, h:13, i+1:34302, err:1.0 
dut_data:90, torch_data:89, c:14, w:105, h:13, i+1:34975, err:1.0 
dut_data:87, torch_data:86, c:2, w:118, h:13, i+1:35171, err:1.0 
dut_data:84, torch_data:83, c:0, w:126, h:13, i+1:35297, err:1.0 
dut_data:90, torch_data:89, c:15, w:156, h:13, i+1:35792, err:1.0 
dut_data:96, torch_data:95, c:6, w:159, h:13, i+1:35831, err:1.0 
dut_data:83, torch_data:82, c:10, w:39, h:14, i+1:36475, err:1.0 
dut_data:85, torch_data:84, c:14, w:81, h:14, i+1:37151, err:1.0 
dut_data:77, torch_data:76, c:2, w:84, h:14, i+1:37187, err:1.0 
dut_data:89, torch_data:88, c:6, w:85, h:14, i+1:37207, err:1.0 
dut_data:89, torch_data:88, c:3, w:92, h:14, i+1:37316, err:1.0 
dut_data:89, torch_data:88, c:6, w:101, h:14, i+1:37463, err:1.0 
dut_data:88, torch_data:87, c:10, w:103, h:14, i+1:37499, err:1.0 
dut_data:79, torch_data:78, c:9, w:107, h:14, i+1:37562, err:1.0 
dut_data:84, torch_data:83, c:0, w:108, h:14, i+1:37569, err:1.0 
dut_data:91, torch_data:90, c:10, w:119, h:14, i+1:37755, err:1.0 
dut_data:82, torch_data:81, c:14, w:119, h:14, i+1:37759, err:1.0 
dut_data:94, torch_data:93, c:10, w:137, h:14, i+1:38043, err:1.0 
dut_data:86, torch_data:85, c:4, w:157, h:14, i+1:38357, err:1.0 
dut_data:88, torch_data:87, c:12, w:158, h:14, i+1:38381, err:1.0 
dut_data:78, torch_data:77, c:7, w:9, h:15, i+1:38552, err:1.0 
dut_data:95, torch_data:94, c:6, w:21, h:15, i+1:38743, err:1.0 
dut_data:83, torch_data:82, c:10, w:38, h:15, i+1:39019, err:1.0 
dut_data:77, torch_data:76, c:5, w:41, h:15, i+1:39062, err:1.0 
dut_data:89, torch_data:88, c:6, w:67, h:15, i+1:39479, err:1.0 
dut_data:82, torch_data:81, c:7, w:96, h:15, i+1:39944, err:1.0 
dut_data:80, torch_data:79, c:6, w:68, h:16, i+1:42055, err:1.0 
dut_data:88, torch_data:87, c:8, w:77, h:16, i+1:42201, err:1.0 
dut_data:80, torch_data:79, c:10, w:86, h:16, i+1:42347, err:1.0 
dut_data:88, torch_data:87, c:12, w:89, h:16, i+1:42397, err:1.0 
dut_data:85, torch_data:84, c:3, w:92, h:16, i+1:42436, err:1.0 
dut_data:78, torch_data:77, c:8, w:104, h:16, i+1:42633, err:1.0 
dut_data:85, torch_data:84, c:7, w:108, h:16, i+1:42696, err:1.0 
dut_data:78, torch_data:77, c:12, w:119, h:16, i+1:42877, err:1.0 
dut_data:109, torch_data:108, c:10, w:121, h:16, i+1:42907, err:1.0 
dut_data:85, torch_data:84, c:9, w:124, h:16, i+1:42954, err:1.0 
dut_data:92, torch_data:91, c:8, w:141, h:16, i+1:43225, err:1.0 
dut_data:84, torch_data:83, c:5, w:149, h:16, i+1:43350, err:1.0 
dut_data:92, torch_data:91, c:8, w:6, h:17, i+1:43625, err:1.0 
dut_data:100, torch_data:99, c:13, w:7, h:17, i+1:43646, err:1.0 
dut_data:78, torch_data:77, c:14, w:12, h:17, i+1:43727, err:1.0 
dut_data:88, torch_data:87, c:12, w:14, h:17, i+1:43757, err:1.0 
dut_data:85, torch_data:84, c:6, w:19, h:17, i+1:43831, err:1.0 
dut_data:83, torch_data:82, c:10, w:26, h:17, i+1:43947, err:1.0 
dut_data:90, torch_data:89, c:14, w:29, h:17, i+1:43999, err:1.0 
dut_data:81, torch_data:80, c:4, w:53, h:17, i+1:44373, err:1.0 
dut_data:89, torch_data:88, c:11, w:61, h:17, i+1:44508, err:1.0 
dut_data:91, torch_data:90, c:11, w:77, h:17, i+1:44764, err:1.0 
dut_data:94, torch_data:93, c:11, w:87, h:17, i+1:44924, err:1.0 
dut_data:88, torch_data:87, c:0, w:92, h:17, i+1:44993, err:1.0 
dut_data:87, torch_data:86, c:2, w:93, h:17, i+1:45011, err:1.0 
